State,medianPropertyTax,Pop
NJ,0.0189,8922547
NH,0.0186,1363852
TX,0.0181,29087070
WI,0.0176,5832661
NE,0.0176,1940919
IL,0.0173,12700381
CT,0.0163,3567871
MI,0.0162,10020472
VT,0.0159,627180
ND,0.0142,760900
OH,0.0136,11718568
RI,0.0135,1056738
PA,0.0135,12813969
KS,0.0129,2910931
IA,0.0129,3167997
SD,0.0128,892631
NY,0.0123,19491339
ME,0.0109,1342097
MN,0.0105,5655925
MA,0.0104,6939373
AL,0.0104,735720
FL,0.0097,21646155
WA,0.0092,7666343
MO,0.0091,6147861
OR,0.0087,4245901
MD,0.0087,6062917
IN,0.0085,6718616
NV,0.0084,3087025
MT,0.0083,1074532
GA,0.0083,10627767
NC,0.0078,10497741
VA,0.0074,8571946
OK,0.0074,3948950
CA,0.0074,39747267
KY,0.0072,4484047
AZ,0.0072,7275070
ID,0.0069,1790182
TN,0.0068,6833793
UT,0.006,3221610
CO,0.006,5770545
WY,0.0058,572381
NM,0.0055,2096034
MS,0.0052,2987895
AR,0.0052,3026412
SC,0.005,5147111
WV,0.0049,1791951
DC,0.0046,711571
DE,0.0043,975033
AL,0.0033,4898246
HI,0.0026,1416589
LA,0.0018,4652581
